Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url
	"I’m no expert but studied the history of public health &amp; infectious disease, &amp; identify strongly w/ the described adrenaline giving way to fatigue &amp; disappointment. Can’t imagine being in their position.
-
Infectious disease experts face disillusionment https://t.co/KlM09enm3D"	RuthElizabeth	Sun Dec 06 14:11:26 +0000 2020	[]	0	0	https://twitter.com/RuthElizabeth/status/1335587659125764096
	@kaitlancollins Azar is a nobody. An orthopedic put in charge of the COVID infectious disease team.	annceline	Sun Dec 06 15:05:42 +0000 2020	[]	0	0	https://twitter.com/annceline/status/1335601314387124232
	@EndUKLockdown1 @roospooscreate She is uneducated on infectious diseases, mixing up covid with Typhoid Mary and STDs.	Gwenmommabear	Sun Dec 06 13:45:49 +0000 2020	[]	0	0	https://twitter.com/Gwenmommabear/status/1335581211423551490
	@GermeidGimborn @apsmunro @FischerKurt @CO_Infectious_D @DrZoeHyde Just look up the experts in Australia and Nope... only TwitterExpert. https://t.co/mh3EfZI91E	FussballFalk	Sun Dec 06 14:56:27 +0000 2020	[]	0	0	https://twitter.com/FussballFalk/status/1335598989148905478
	‘Makes you ask why the hell we even bother.’ Infectious disease experts face disillusionment as COVID-19 pandemic … https://t.co/4l0utqfBv9	Annntst	Sun Dec 06 15:33:25 +0000 2020	[]	0	0	https://twitter.com/Annntst/status/1335608291305676800
	‘Makes you ask why the hell we even bother.’ Infectious disease experts face disillusionment as COVID-19 pandemic … https://t.co/WMZVk3Yevo	Mariopsax	Sun Dec 06 14:16:08 +0000 2020	[]	0	0	https://twitter.com/Mariopsax/status/1335588843530162176
	
People get infected daily
	Daily	MR_STiXX	Sun Dec 06 15:09:52 +0000 2020	[]	0	0	https://twitter.com/MR_STiXX/status/1335602363558752256
	And America just doing this on a daily 😒	keyFANCY_	Sun Dec 06 14:21:36 +0000 2020	[]	0	0	https://twitter.com/keyFANCY_/status/1335590216422338563
	"#CoronaVirusUpdates 

Prediction: 3,700 daily infections within a week

Israel's #coronavirus Cabinet says it expects upwards of 3,700 new daily infections within a week of today."	ArutzSheva_En	Sun Dec 06 15:15:15 +0000 2020	['CoronaVirusUpdates', 'coronavirus']	0	0	https://twitter.com/ArutzSheva_En/status/1335603718486683651
	The spokeswoman for #Iran's Ministry of Health announced on Sunday in her daily presser that 1,040,547 people in the country have been infected with the #coronavirus, and 730,798 of the total infected people recovered https://t.co/kp83t7WEHJ https://t.co/8ZqmVB8UGX	iranpress_news	Sun Dec 06 12:58:29 +0000 2020	['Iran']	0	0	https://twitter.com/iranpress_news/status/1335569299973562369
