Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url	Cluster
	Nationwide lockdown over the holidays is fake news –Roque https://t.co/daqWFxXuiF https://t.co/uXVJxhtNMA	msnph	Sun Dec 06 12:16:09 +0000 2020	[]	0	0	https://twitter.com/msnph/status/1335558648433545216	0
	"During the pandemic holidays, be aware of the limits of what the coronavirus tests can do 

https://t.co/bBqnwIv8Ga"	New_Narrative	Sun Dec 06 12:10:02 +0000 2020	[]	0	0	https://twitter.com/New_Narrative/status/1335557108981493761	0
	1 in 3 Parents Say Holiday Gathering Worth COVID Risk https://t.co/bdHJtDp7Cu	Medkeen	Sun Dec 06 12:45:02 +0000 2020	[]	0	0	https://twitter.com/Medkeen/status/1335565916571099138	0
	"Where are you planning to visit when #covid😷 restrictions ease?
#holidays #traveldestinations https://t.co/nfoC3Ax6dL"	LyleHolt_AF	Sun Dec 06 12:04:39 +0000 2020	['covid', 'holidays', 'traveldestinations']	0	0	https://twitter.com/LyleHolt_AF/status/1335555750685392898	0
	Coronavirus cases continue climbing in US during holiday season https://t.co/aLwPJtXZH4	10TV	Sun Dec 06 12:49:07 +0000 2020	[]	0	0	https://twitter.com/10TV/status/1335566941273153536	2
	Coronavirus cases continue climbing in US during holiday season https://t.co/n67fDKK9aB	KTVB	Sun Dec 06 12:49:05 +0000 2020	[]	0	0	https://twitter.com/KTVB/status/1335566935065567232	2
	Virus Cases Continue Climbing in US During Holiday Season https://t.co/F7ynVcW0S3	HaoleThai	Sun Dec 06 12:45:28 +0000 2020	[]	0	0	https://twitter.com/HaoleThai/status/1335566026000326658	2
	Coronavirus cases continue climbing in US during holiday season https://t.co/MFf4xmEBXK	fox43	Sun Dec 06 12:42:07 +0000 2020	[]	0	0	https://twitter.com/fox43/status/1335565183163437056	2
	Coronavirus cases continue climbing in US during holiday season https://t.co/2SYaNvuBj4	ABC10	Sun Dec 06 12:40:04 +0000 2020	[]	0	0	https://twitter.com/ABC10/status/1335564666886557701	0
	
the pandemic in us
	Will this be US?????	Maggieme863	Sun Dec 06 12:08:20 +0000 2020	[]	0	0	https://twitter.com/Maggieme863/status/1335556679589617664	0
	Me watching from the US https://t.co/7FReVaZsN7	SsnuggleSlutt	Sun Dec 06 13:01:54 +0000 2020	[]	0	0	https://twitter.com/SsnuggleSlutt/status/1335570161768796165	2
	⚠️⚠️warning for all of us	JanjuaUK	Sun Dec 06 13:00:39 +0000 2020	[]	0	0	https://twitter.com/JanjuaUK/status/1335569846126469121	0
	Ya Allah  pls protect us , provide us and guide us to the righteous path. Ameen	Ahmerz	Sun Dec 06 12:51:06 +0000 2020	[]	0	0	https://twitter.com/Ahmerz/status/1335567441330647040	2
	🤣🤣🤣🤣 only attack us https://t.co/sqilKLzGFV	_haragucci	Sun Dec 06 12:28:57 +0000 2020	[]	0	0	https://twitter.com/_haragucci/status/1335561865863303170	2
	This could’ve been us!	candaceconvo	Sun Dec 06 12:22:22 +0000 2020	[]	0	0	https://twitter.com/candaceconvo/status/1335560212607066113	2
	The US in a nutshell	123LisaAnn	Sun Dec 06 12:17:53 +0000 2020	[]	0	0	https://twitter.com/123LisaAnn/status/1335559081155760134	0
	"Us: Please help us pay rent during a pandemic
Republicans: No
Democrats: I understand. Also no"	MichaelJVine	Sun Dec 06 12:48:10 +0000 2020	[]	0	0	https://twitter.com/MichaelJVine/status/1335566702420119552	2
	"It is true that the pandemic screwed up many of us during the year, but that did not prevent us from enjoying presentations like the ones that #MAMA2020 offered today with artists who are important to each of us 💜
@BTS_twt  #BTSxMAMA https://t.co/5IJwcspa7Y"	zuri_sol21	Sun Dec 06 12:49:51 +0000 2020	[]	0	0	https://twitter.com/zuri_sol21/status/1335567126028054528	0
	@CameronRenilson Absolutely not. Only the US and parts of Europe even though as a whole they have handled COVID astronomically better than the US. The difference between the US and the first world is that the US never cared. The leadership was too busy on re-election and right wing popularism.	deepbarot	Sun Dec 06 12:31:59 +0000 2020	[]	0	0	https://twitter.com/deepbarot/status/1335562632959553536	2
	Throw them out!! They don't own us!! They WORK AND GET PSID BY US. Hint....they don't do their jobs	MargaretGilma14	Sun Dec 06 12:45:09 +0000 2020	[]	0	0	https://twitter.com/MargaretGilma14/status/1335565946119925760	2
	@londonart2 Couldn’t agree we weren’t his choice will he be with us if there wasn’t a pandemic	KennyKen1972	Sun Dec 06 13:03:33 +0000 2020	[]	0	0	https://twitter.com/KennyKen1972/status/1335570575947862017	-1
	This pandemic robbed us for  a bts reaction 😭😭	txtgenleaders	Sun Dec 06 12:19:17 +0000 2020	[]	0	0	https://twitter.com/txtgenleaders/status/1335559434148454400	0
	@aimoahmed over here in the US there are people who genuinely believe that the pandemic isn’t real, and that it’s all a hoax so the government can microchip us via a vaccine 🙄🤦‍♀️	Peridot_Mermaid	Sun Dec 06 12:38:48 +0000 2020	[]	0	0	https://twitter.com/Peridot_Mermaid/status/1335564344709566465	2
	This could be us but y'all playing	EagleEye1906_	Sun Dec 06 12:58:34 +0000 2020	[]	0	0	https://twitter.com/EagleEye1906_/status/1335569321284734977	2
	This could be us but you playing.	dominickpurnomo	Sun Dec 06 12:49:08 +0000 2020	[]	0	0	https://twitter.com/dominickpurnomo/status/1335566947442946049	2
	Coming soon to the US https://t.co/pitYqrvEIG	KKougianos	Sun Dec 06 12:42:32 +0000 2020	[]	0	0	https://twitter.com/KKougianos/status/1335565287542968321	2
	"What history teaches us. 📚

https://t.co/PXmsLxK1nI"	Lightswide	Sun Dec 06 12:40:06 +0000 2020	[]	0	0	https://twitter.com/Lightswide/status/1335564674662883328	0
	Is anyone in the US applying this lens to understanding violence in vulnerable communities in the US this year?	professorkim	Sun Dec 06 12:37:15 +0000 2020	[]	0	0	https://twitter.com/professorkim/status/1335563957789188096	0
	Yess, it's shown us!!!	RumaizaMalik	Sun Dec 06 12:35:49 +0000 2020	[]	0	0	https://twitter.com/RumaizaMalik/status/1335563596235935746	2
	
